,lat,lon,mapper_count,elevation
321,29.556863,-95.551351,0,0.0
322,29.560152,-95.567942,0,0.0
323,29.572823,-98.661361,1,0.0
324,29.580216,-98.259698,0,0.0
325,29.580221,-98.260731,15,0.0
326,29.581118,-98.259692,0,0.0
327,29.581124,-98.260724,0,0.0
328,29.584536,-98.654094,5,0.0
329,29.589182,-98.249307,0,0.0
330,29.59009,-98.250333,0,0.0
331,29.590975,-98.247229,0,0.0
332,29.627385,-98.505199,0,0.0
333,29.649035,-95.635254,0,0.0
334,29.655116,-98.443068,0,0.0
335,29.656018,-98.443063,0,0.0
336,29.699449,-95.452659,0,0.0
337,29.705799,-95.450747,0,0.0
338,29.711132,-95.45501,0,0.0
339,29.713876,-95.45301,0,0.0
340,29.718002,-95.791021,0,0.0
341,29.719164,-95.778653,0,0.0
342,29.723008,-95.767392,0,0.0
343,29.734132,-95.479343,0,0.0
344,29.734152,-95.47831,0,0.0
345,29.761932,-95.439706,0,0.0
346,29.762875,-95.388033,0,0.0
347,29.781019,-95.431896,5,0.0
348,29.781038,-95.430862,0,0.0
349,29.781057,-95.429829,0,0.0
350,29.781076,-95.428795,0,0.0
351,29.781095,-95.427761,0,0.0
352,29.781114,-95.426728,0,0.0
353,29.781864,-95.435019,0,0.0
354,29.781902,-95.432951,0,0.0
355,29.781921,-95.431918,0,0.0
356,29.781978,-95.428817,0,0.0
357,29.782765,-95.43504,0,0.0
358,29.782804,-95.432973,0,0.0
359,29.782842,-95.430906,0,0.0
360,29.786676,-95.418589,0,0.0
361,29.787578,-95.41861,0,0.0
362,29.789362,-95.419688,0,0.0
363,29.790283,-95.418676,0,0.0
364,29.805349,-95.38387,0,0.0
365,29.805857,-95.405604,0,0.0
366,29.806758,-95.405625,0,0.0
367,29.816545,-95.556888,0,0.0
368,29.824318,-95.43191,0,0.0
369,29.836904,-95.434284,0,0.0
370,29.848375,-95.724286,0,0.0
371,29.856464,-95.400608,0,0.0
372,30.188772,-95.525962,0,0.0
373,30.19324,-95.528153,0,0.0
374,30.194102,-95.530251,0,0.0
375,30.300426,-97.887258,0,0.0
376,30.301337,-97.888287,1,0.0
377,30.30139,-97.894526,35,0.0
378,30.302292,-97.894516,0,0.0
379,30.30315,-97.889307,0,0.0
380,30.326853,-97.918164,0,0.0
381,30.344846,-97.911724,0,0.0
382,30.359974,-97.886584,20,0.0
383,30.360876,-97.886574,0,0.0
384,30.361796,-97.888645,0,0.0
385,30.36361,-97.889665,0,0.0
386,30.363698,-97.900069,0,0.0
387,30.3646,-97.900059,0,0.0
388,30.365396,-97.887563,0,0.0
389,30.366378,-97.896918,0,0.0
390,30.367289,-97.897948,0,0.0
391,30.371835,-97.902059,0,0.0
392,30.376276,-97.893684,0,0.0
393,30.37632,-97.898887,0,0.0
394,30.377187,-97.894715,0,0.0
395,30.377974,-97.881177,0,0.0
396,30.378125,-97.898867,0,0.0
397,30.378877,-97.881167,0,0.0
398,30.423267,-97.799449,0,0.0
399,30.424169,-97.799438,0,0.0
400,30.424508,-97.836916,0,0.0
401,30.426002,-97.802539,0,0.0
402,30.43074,-97.827471,0,0.0
403,30.431642,-97.82746,20,0.0
404,30.433291,-97.626477,0,0.0
405,30.434321,-97.824304,15,0.0
406,30.43615,-97.641015,0,0.0
407,30.438719,-97.811755,0,0.0
408,30.440418,-97.80028,0,0.0
409,30.440475,-97.806527,0,0.0
410,30.440485,-97.807569,0,0.0
411,30.442223,-97.800258,1,0.0
412,30.450443,-97.627278,0,0.0
413,30.453204,-97.632447,0,0.0
414,31.68469,-106.188012,0,0.0
415,31.686395,-106.198583,0,0.0
416,31.89631,-106.4022,0,0.0
417,32.072358,36.075184,4,0.0
418,32.855894,-97.167226,0,0.0
419,32.856874,-97.172549,1,0.0
420,32.85689,-97.173617,0,0.0
421,32.858677,-97.172512,0,0.0
422,32.871903,-97.151935,1,0.0
423,32.876631,-97.166799,0,0.0
424,32.903059,-96.79316,1,0.0
425,32.90396,-96.793138,0,0.0
426,32.909743,-117.206393,0,0.0
427,32.915174,-117.194642,0,0.0
428,32.936847,-117.178643,0,0.0
429,32.98411,-97.000864,0,0.0
430,32.985012,-97.000843,0,0.0
431,33.051504,-96.824799,0,0.0
432,33.055998,-96.72296,0,0.0
433,33.091539,-96.743468,0,0.0
434,33.094165,-96.739116,0,0.0
435,33.094301,-96.746612,0,0.0
436,33.09434,-96.748753,0,0.0
437,33.095067,-96.739093,25,0.0
438,33.095086,-96.740164,0,0.0
439,33.095319,-96.753013,0,0.0
440,33.095968,-96.73907,0,0.0
441,33.097198,-96.757251,0,0.0
442,33.097771,-96.739024,6,0.0
443,33.151202,-96.702278,0,0.0
444,33.155063,-96.716114,0,0.0
445,33.159412,-96.707424,0,0.0
446,33.159883,-96.733142,0,0.0
447,33.161057,-96.698805,0,0.0
448,33.166839,-96.719025,6,0.0
449,33.166859,-96.720096,0,0.0
450,33.170484,-96.721075,0,0.0
451,33.171306,-96.716765,0,0.0
452,33.171872,-96.698522,0,0.0
453,33.173892,-96.710264,0,0.0
454,33.248154,-87.068704,0,0.0
455,33.24996,-87.065485,0,0.0
456,33.252668,-87.062266,0,0.0
457,33.258979,-87.066565,0,0.0
458,33.273403,-87.080535,0,0.0
459,33.4356,-86.78484,0,0.0
460,33.435608,-86.789143,0,0.0
461,33.436459,-86.76117,0,0.0
462,33.436461,-86.762246,402,0.0
463,33.436463,-86.763322,735,0.0
464,33.437363,-86.762244,680,0.0
465,33.437365,-86.76332,0,0.0
466,33.698619,-118.012144,36,0.0
467,33.715555,-118.319912,0,0.0
468,33.715566,-118.318833,0,0.0
469,33.715589,-118.316675,0,0.0
470,33.721228,-118.295177,0,0.0
471,33.732779,-118.311541,0,0.0
472,33.73279,-118.310462,0,0.0
473,33.755935,-84.287973,0,0.0
474,33.757002,-84.295494,0,0.0
475,33.760011,-84.309432,0,0.0
476,33.760202,-84.277045,0,0.0
477,33.768728,-84.337226,2,0.0
478,33.776656,-84.287319,0,0.0
479,33.77668,-84.288398,0,0.0
480,33.777557,-84.287291,0,0.0
481,33.777581,-84.28837,0,0.0
482,33.783081,-84.292515,1,0.0
483,33.803406,-84.35667,4,0.0
484,33.805297,-118.087941,0,0.0
485,33.807101,-118.087964,23,0.0
486,33.808012,-118.086895,0,0.0
487,33.808904,-118.087987,0,0.0
488,33.809825,-118.085838,0,0.0
489,33.973252,-80.852777,0,0.0
490,33.973253,-80.853859,0,0.0
491,33.974154,-80.852775,2,0.0
492,33.974155,-80.853858,0,0.0
493,33.978301,-84.485455,0,0.0
494,33.978323,-84.486537,22,0.0
495,34.014818,-81.047654,0,0.0
496,34.12206,-118.162464,7,0.0
497,34.124755,-118.163585,35,0.0
498,34.130145,-118.165828,0,0.0
499,34.131763,-118.087769,8,0.0
500,34.137338,-118.168096,0,0.0
501,34.137368,-118.164843,40,0.0
502,34.139151,-118.167036,8,0.0
503,34.140053,-118.167049,7,0.0
504,34.14366,-118.167098,7,0.0
505,34.144582,-118.164942,3,0.0
506,34.159261,-84.70243,0,0.0
507,37.2902,-122.037658,0,0.0
508,37.290413,-121.956428,0,0.0
509,37.291314,-121.956415,2,0.0
510,37.291966,-122.033122,0,0.0
511,37.297456,-122.043207,0,0.0
512,37.302026,-122.051047,0,0.0
513,37.306496,-122.046477,0,0.0
514,37.314634,-122.04976,0,0.0
515,37.348843,-122.163362,0,0.0
516,37.483239,-77.657826,13,0.0
